V4	SYMBOL	GENENAME	seqnames	start	end	width	strand	V5	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL
IP1_peak_2214	Tecr	trans-2,3-enoyl-CoA reductase	chr8	83584941	83584941	1	*	44.19936	Exon (ENSMUST00000212132.1/ENSMUST00000212132.1, exon 2 of 2)	8	83572663	83594421	21759	2	106529	ENSMUST00000212575.1	9480	ENSMUSG00000031708
IP1_peak_435	Enpp7	ectonucleotide pyrophosphatase/phosphodiesterase 7	chr11	118973206	118973206	1	*	43.17498	Distal Intergenic	11	118988188	118992841	4654	1	238011	ENSMUST00000092373.12	-14982	ENSMUSG00000046697
IP1_peak_1383	Atp9a	ATPase, class II, type 9A	chr2	168677848	168677848	1	*	43.17424	Intron (ENSMUST00000109175.8/11981, intron 9 of 27)	2	168662083	168670346	8264	2	11981	ENSMUST00000147757.1	-7502	ENSMUSG00000027546
IP1_peak_2158	Sox1ot	Sox1 overlapping transcript	chr8	12138160	12138160	1	*	42.59755	Distal Intergenic	8	12385771	12436729	50959	1	434280	ENSMUST00000080795.8	-247611	NA
IP1_peak_9	Gm17644	predicted gene, 17644	chr1	12644800	12644800	1	*	42.52316	Distal Intergenic	1	12667563	12673090	5528	1	329096	ENSMUST00000181272.1	-22763	ENSMUSG00000097171
IP1_peak_276	Fgd6	FYVE, RhoGEF and PH domain containing 6	chr10	94129846	94129846	1	*	42.21548	Intron (ENSMUST00000020208.4/13998, intron 14 of 20)	10	94133163	94139871	6709	1	13998	ENSMUST00000125535.1	-3317	ENSMUSG00000020021
IP1_peak_1002	Fam120b	family with sequence similarity 120, member B	chr17	15440668	15440668	1	*	41.96915	Distal Intergenic	17	15403404	15408853	5450	1	67544	ENSMUST00000231318.1	37264	ENSMUSG00000014763
IP1_peak_1400	Pex2	peroxisomal biogenesis factor 2	chr3	5754899	5754899	1	*	41.96915	Distal Intergenic	3	5560500	5576239	15740	2	19302	ENSMUST00000059021.9	-178660	ENSMUSG00000040374
IP1_peak_1546	1700009N14Rik	RIKEN cDNA 1700009N14 gene	chr4	39344554	39344554	1	*	41.93666	Distal Intergenic	4	39450295	39451776	1482	1	75471	ENSMUST00000029955.4	-105741	ENSMUSG00000028287
IP1_peak_2011	Ano2	anoctamin 2	chr6	125876949	125876949	1	*	41.42953	Intron (ENSMUST00000159111.7/243634, intron 13 of 15)	6	125815535	126040124	224590	1	243634	ENSMUST00000159984.1	61414	ENSMUSG00000038115
IP1_peak_1306	Lgr4	leucine-rich repeat-containing G protein-coupled receptor 4	chr2	109960425	109960425	1	*	41.30787	Intron (ENSMUST00000046548.13/107515, intron 1 of 17)	2	109975542	109997652	22111	1	107515	ENSMUST00000152584.1	-15117	ENSMUSG00000050199
IP1_peak_99	Mapkapk2	MAP kinase-activated protein kinase 2	chr1	131079035	131079035	1	*	40.33908	Intron (ENSMUST00000016672.10/17164, intron 1 of 9)	1	131056889	131072526	15638	2	17164	ENSMUST00000188459.3	-6509	ENSMUSG00000016528
IP1_peak_935	Tbc1d23	TBC1 domain family, member 23	chr16	57241972	57241972	1	*	40.12578	Distal Intergenic	16	57168862	57231504	62643	2	67581	ENSMUST00000023431.7	-10468	ENSMUSG00000022749
IP1_peak_700	Rps24	ribosomal protein S24	chr14	24578621	24578621	1	*	39.74742	Distal Intergenic	14	24491149	24491989	841	1	20088	ENSMUST00000224699.1	87472	ENSMUSG00000025290
IP1_peak_956	Mir125b-2	microRNA 125b-2	chr16	77852653	77852653	1	*	39.48222	Intron (ENSMUST00000169531.2/ENSMUST00000169531.2, intron 1 of 1)	16	77646340	77649426	3087	1	723952	ENSMUST00000193537.1	206313	ENSMUSG00000065472
IP1_peak_1502	Gm32693	predicted gene, 32693	chr3	139886824	139886824	1	*	38.79021	Distal Intergenic	3	139777153	139780759	3607	2	102635321	ENSMUST00000196538.1	-106065	ENSMUSG00000106505
IP1_peak_2088	Myo7a	myosin VIIA	chr7	98060058	98060058	1	*	38.79021	Intron (ENSMUST00000107128.7/17921, intron 39 of 48)	7	98062643	98065202	2560	2	17921	ENSMUST00000124787.1	5144	ENSMUSG00000030761
IP1_peak_2449	Cldn34c1	claudin 34C1	chrX	122831416	122831416	1	*	38.2659	Distal Intergenic	20	123103495	123145651	42157	1	73061	ENSMUST00000113343.7	-272079	ENSMUSG00000079450
IP1_peak_1423	5430434I15Rik	RIKEN cDNA 5430434I15 gene	chr3	38299769	38299769	1	*	38.02312	Distal Intergenic	3	38203151	38208119	4969	2	71342	ENSMUST00000197658.1	-91650	ENSMUSG00000106002
IP1_peak_1659	Phc2	polyhomeotic 2	chr4	128715994	128715994	1	*	38.02312	Intron (ENSMUST00000030588.12/54383, intron 7 of 14)	4	128710164	128724424	14261	1	54383	ENSMUST00000155653.1	5830	ENSMUSG00000028796
IP1_peak_157	Zbtb18	zinc finger and BTB domain containing 18	chr1	177444607	177444607	1	*	37.30724	Promoter (<=1kb)	1	177444649	177447788	3140	1	30928	ENSMUST00000192851.1	-42	ENSMUSG00000063659
IP1_peak_623	Tut7	terminal uridylyl transferase 7	chr13	59926176	59926176	1	*	37.07148	Distal Intergenic	13	59771561	59823147	51587	2	214290	ENSMUST00000071703.5	-103029	ENSMUSG00000035248
IP1_peak_1553	Shb	src homology 2 domain-containing transforming protein B	chr4	45473352	45473352	1	*	36.82029	Intron (ENSMUST00000147926.7/230126, intron 1 of 4)	4	45423278	45482802	59525	2	230126	ENSMUST00000147926.7	9450	ENSMUSG00000044813
IP1_peak_1457	Mir9b-1	microRNA 9b-1	chr3	88226280	88226280	1	*	35.89429	Intron (ENSMUST00000180635.7/ENSMUST00000180635.7, intron 2 of 4)	3	88215589	88215696	108	2	114482879	ENSMUST00000175135.1	-10584	NA
IP1_peak_1218	Hmcn2	hemicentin 2	chr2	31449604	31449604	1	*	35.3945	Promoter (2-3kb)	2	31446735	31460737	14003	1	665700	ENSMUST00000142448.7	2869	ENSMUSG00000055632
IP1_peak_1899	AA545190	EST AA545190	chr6	10186418	10186418	1	*	35.05159	Distal Intergenic	6	10972058	10974378	2321	2	57866	ENSMUST00000205141.1	787960	NA
IP1_peak_2184	Mtus1	mitochondrial tumor suppressor 1	chr8	41004784	41004784	1	*	34.98355	Intron (ENSMUST00000059115.12/102103, intron 7 of 13)	8	40998770	41000205	1436	2	102103	ENSMUST00000135194.1	-4579	ENSMUSG00000045636
IP1_peak_604	Gadd45g	growth arrest and DNA-damage-inducible 45 gamma	chr13	51920706	51920706	1	*	34.71003	Distal Intergenic	13	51846744	51848224	1481	1	23882	ENSMUST00000132480.1	73962	ENSMUSG00000021453
IP1_peak_2137	C030029H02Rik	RIKEN cDNA C030029H02 gene	chr7	136083765	136083765	1	*	34.71003	Distal Intergenic	7	136268324	136318513	50190	1	77383	ENSMUST00000210438.1	-184559	ENSMUSG00000110027
IP1_peak_450	Odc1	ornithine decarboxylase, structural 1	chr12	17558187	17558187	1	*	34.59622	Intron (ENSMUST00000222758.1/ENSMUST00000222758.1, intron 2 of 4)	12	17549458	17550077	620	1	18263	ENSMUST00000222250.1	8729	ENSMUSG00000011179
IP1_peak_1506	Ccn1	cellular communication network factor 1	chr3	145691055	145691055	1	*	34.59622	Distal Intergenic	3	145646976	145649981	3006	2	16007	ENSMUST00000029846.4	-41074	ENSMUSG00000028195
IP1_peak_2013	Cracr2a	calcium release activated channel regulator 2A	chr6	127701217	127701217	1	*	33.53405	Intron (ENSMUST00000032500.8/381813, intron 7 of 9)	6	127644440	127657925	13486	1	381812	ENSMUST00000202671.1	56777	ENSMUSG00000061414
IP1_peak_2085	Gm15413	predicted gene 15413	chr7	96832812	96832812	1	*	33.53405	Intron (ENSMUST00000107162.7/23966, intron 19 of 32)	7	96791433	96801549	10117	2	791381	ENSMUST00000155101.1	-31263	ENSMUSG00000053049
IP1_peak_1350	Cbfa2t2	CBFA2/RUNX1 translocation partner 2	chr2	154466097	154466097	1	*	33.49988	Intron (ENSMUST00000109725.7/12396, intron 1 of 10)	2	154436842	154504777	67936	1	12396	ENSMUST00000155202.1	29255	ENSMUSG00000038533
IP1_peak_1803	Sez6l	seizure related 6 homolog like	chr5	112485049	112485049	1	*	33.07624	Intron (ENSMUST00000079491.13/56747, intron 1 of 16)	5	112419155	112475127	55973	2	56747	ENSMUST00000200575.4	-9922	ENSMUSG00000058153
IP1_peak_561	1700092E19Rik	RIKEN cDNA 1700092E19 gene	chr13	26155162	26155162	1	*	32.36612	Distal Intergenic	13	26305750	26312347	6598	2	73576	ENSMUST00000123438.1	157185	ENSMUSG00000084811
IP1_peak_563	Prl3c1	prolactin family 3, subfamily c, member 1	chr13	27206099	27206099	1	*	32.29472	Distal Intergenic	13	27199353	27203612	4260	1	27372	ENSMUST00000178072.1	6746	ENSMUSG00000017922
IP1_peak_1714	Cldn12	claudin 12	chr5	5528344	5528344	1	*	32.15443	Distal Intergenic	5	5511094	5514958	3865	2	64945	ENSMUST00000134931.1	-13386	ENSMUSG00000046798
IP1_peak_1776	Rasgef1b	RasGEF domain family, member 1B	chr5	99479770	99479770	1	*	31.79781	Intron (ENSMUST00000209346.1/320292, intron 3 of 16)	5	99217426	99252927	35502	2	320292	ENSMUST00000168092.7	-226843	ENSMUSG00000089809
IP1_peak_1796	E130006D01Rik	RIKEN cDNA E130006D01 gene	chr5	111935516	111935516	1	*	31.32962	Distal Intergenic	5	111734303	111761725	27423	2	269683	ENSMUST00000129065.7	-173791	ENSMUSG00000085271
IP1_peak_1625	Lrp8os2	low density lipoprotein receptor-related protein 8, apolipoprotein e receptor, opposite strand 2	chr4	107817691	107817691	1	*	31.29663	Intron (ENSMUST00000238584.1/16975, intron 2 of 17)	4	107807988	107822974	14987	2	619295	ENSMUST00000138289.1	5283	ENSMUSG00000073779
IP1_peak_2121	Gsg1l	GSG1-like	chr7	126008946	126008946	1	*	31.21601	Intron (ENSMUST00000073935.6/269994, intron 2 of 6)	7	125878420	126082411	203992	2	269994	ENSMUST00000073935.6	73465	ENSMUSG00000046182
IP1_peak_1126	Setbp1	SET binding protein 1	chr18	79050952	79050952	1	*	31.02526	Intron (ENSMUST00000025430.10/240427, intron 2 of 5)	18	78750380	79109391	359012	2	240427	ENSMUST00000025430.10	58439	ENSMUSG00000024548
IP1_peak_1087	Sncaip	synuclein, alpha interacting protein (synphilin)	chr18	52848219	52848219	1	*	30.88683	Intron (ENSMUST00000115410.8/67847, intron 2 of 10)	18	52838010	52915312	77303	1	67847	ENSMUST00000179689.1	10209	ENSMUSG00000024534
IP1_peak_2004	Atp2b2	ATPase, Ca++ transporting, plasma membrane 2	chr6	113857037	113857037	1	*	30.16786	Intron (ENSMUST00000101045.9/11941, intron 3 of 21)	6	113803338	113891370	88033	2	11941	ENSMUST00000135199.1	34333	ENSMUSG00000030302
IP1_peak_688	Nek10	NIMA (never in mitosis gene a)- related kinase 10	chr14	14984024	14984024	1	*	30.07192	Intron (ENSMUST00000224491.1/674895, intron 31 of 35)	14	14930575	15006743	76169	1	674895	ENSMUST00000136826.2	53449	ENSMUSG00000042567
IP1_peak_2279	Gse1	genetic suppressor element 1, coiled-coil protein	chr8	120309434	120309434	1	*	30.07192	Intron (ENSMUST00000127664.1/108148, intron 1 of 15)	8	120228456	120553634	325179	1	382034	ENSMUST00000180448.2	80978	ENSMUSG00000031822
IP1_peak_929	Bbx	bobby sox HMG box containing	chr16	50414630	50414630	1	*	29.76307	Intron (ENSMUST00000138166.7/70508, intron 2 of 16)	16	50224847	50429912	205066	2	70508	ENSMUST00000131695.7	15282	ENSMUSG00000022641
IP1_peak_1997	Cntn6	contactin 6	chr6	104313202	104313202	1	*	29.76307	Distal Intergenic	6	104492790	104642949	150160	1	53870	ENSMUST00000161446.1	-179588	ENSMUSG00000030092
IP1_peak_941	Epha3	Eph receptor A3	chr16	63806585	63806585	1	*	29.62869	Intron (ENSMUST00000064405.7/13837, intron 2 of 16)	16	63611023	63863413	252391	2	13837	ENSMUST00000232461.1	56828	ENSMUSG00000052504
IP1_peak_269	Gm31592	predicted gene, 31592	chr10	91720080	91720080	1	*	29.24059	Distal Intergenic	10	91888829	91953580	64752	1	102633867	ENSMUST00000217529.1	-168749	ENSMUSG00000111657
IP1_peak_1953	Atoh8	atonal bHLH transcription factor 8	chr6	72216732	72216732	1	*	28.95812	Intron (ENSMUST00000206425.1/71093, intron 3 of 3)	6	72206177	72234537	28361	2	71093	ENSMUST00000206425.1	17805	ENSMUSG00000037621
IP1_peak_1598	Cyp2j5	cytochrome P450, family 2, subfamily j, polypeptide 5	chr4	96697902	96697902	1	*	28.94309	Distal Intergenic	4	96628773	96664154	35382	2	13109	ENSMUST00000030299.7	-33748	ENSMUSG00000052520
IP1_peak_1775	Rasgef1b	RasGEF domain family, member 1B	chr5	99479344	99479344	1	*	28.94309	Intron (ENSMUST00000209346.1/320292, intron 3 of 16)	5	99217426	99252927	35502	2	320292	ENSMUST00000168092.7	-226417	ENSMUSG00000089809
IP1_peak_1102	St8sia3os	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3, opposite strand	chr18	64014127	64014127	1	*	28.74377	Distal Intergenic	18	64167726	64168774	1049	2	73588	ENSMUST00000236604.1	154647	ENSMUSG00000086128
IP1_peak_652	Serinc5	serine incorporator 5	chr13	92737067	92737067	1	*	28.46338	Distal Intergenic	13	92705782	92708293	2512	1	218442	ENSMUST00000224458.1	31285	ENSMUSG00000021703
IP1_peak_217	Sesn1	sestrin 1	chr10	41932176	41932176	1	*	28.30834	Intron (ENSMUST00000160262.8/213402, intron 12 of 17)	10	41898373	41902549	4177	1	140742	ENSMUST00000214835.1	33803	ENSMUSG00000038332
IP1_peak_525	4930474N09Rik	RIKEN cDNA 4930474N09 gene	chr12	99220519	99220519	1	*	28.30834	Intron (ENSMUST00000046859.11/71375, intron 4 of 5)	12	99161277	99162808	1532	2	67639	ENSMUST00000223511.1	-57711	ENSMUSG00000113210
IP1_peak_1117	Smad7	SMAD family member 7	chr18	75434624	75434624	1	*	28.05035	3' UTR	18	75374914	75394001	19088	1	17131	ENSMUST00000172718.1	59710	ENSMUSG00000025880
IP1_peak_1532	Triqk	triple QxxK/R motif containing	chr4	13146976	13146976	1	*	27.82353	Distal Intergenic	4	12917967	12981070	63104	1	208820	ENSMUST00000156536.2	229009	ENSMUSG00000055963
IP1_peak_2033	Kirrel2	kirre like nephrin family adhesion molecule 2	chr7	30451014	30451014	1	*	27.82353	Promoter (<=1kb)	7	30448071	30450864	2794	2	243911	ENSMUST00000170152.7	-150	ENSMUSG00000036915
IP1_peak_2372	Itga11	integrin alpha 11	chr9	62608609	62608609	1	*	27.82353	Distal Intergenic	9	62677826	62783982	106157	1	319480	ENSMUST00000034774.8	-69217	ENSMUSG00000032243
IP1_peak_2213	Smad1	SMAD family member 1	chr8	79355693	79355693	1	*	27.51735	Promoter (<=1kb)	8	79349727	79356678	6952	2	17125	ENSMUST00000215983.1	985	ENSMUSG00000031681
IP1_peak_930	Mir6363	microRNA 6363	chr16	50717780	50717780	1	*	27.2871	Distal Intergenic	16	50727132	50727245	114	1	102466634	ENSMUST00000184880.1	-9352	ENSMUSG00000098482
IP1_peak_2256	Gm15679	predicted gene 15679	chr8	98573008	98573008	1	*	27.162	Distal Intergenic	8	99011886	99032740	20855	1	100873092	ENSMUST00000161244.1	-438878	ENSMUSG00000089819
IP1_peak_1451	Trim2	tripartite motif-containing 2	chr3	84253000	84253000	1	*	27.00673	Intron (ENSMUST00000107692.7/80890, intron 1 of 11)	3	84193359	84259369	66011	2	80890	ENSMUST00000147901.7	6369	ENSMUSG00000027993
IP1_peak_1487	Ndst4	N-deacetylase/N-sulfotransferase (heparin glucosaminyl) 4	chr3	125228426	125228426	1	*	27.00195	Distal Intergenic	3	125404076	125728899	324824	1	64580	ENSMUST00000173932.7	-175650	ENSMUSG00000027971
IP1_peak_2222	Dand5	DAN domain family member 5, BMP antagonist	chr8	84814810	84814810	1	*	26.86367	Distal Intergenic	8	84815404	84822823	7420	2	23863	ENSMUST00000065539.5	8013	ENSMUSG00000053226
IP1_peak_783	Mir6391	microRNA 6391	chr14	118566562	118566562	1	*	26.71831	Intron (ENSMUST00000036554.13/239273, intron 19 of 30)	14	118592369	118592472	104	2	102465208	ENSMUST00000184391.1	25910	ENSMUSG00000098433
IP1_peak_1576	Dmac1	distal membrane arm assembly complex 1	chr4	75561999	75561999	1	*	26.71831	Distal Intergenic	4	75277354	75278305	952	2	66928	ENSMUST00000030103.8	-283694	ENSMUSG00000028398
IP1_peak_23	Vwa3b	von Willebrand factor A domain containing 3B	chr1	37122468	37122468	1	*	26.46502	Intron (ENSMUST00000238425.1/70853, intron 12 of 28)	1	37135508	37141336	5829	1	70853	ENSMUST00000195450.1	-13040	ENSMUSG00000050122
IP1_peak_2262	Bcar1	breast cancer anti-estrogen resistance 1	chr8	111745653	111745653	1	*	26.46502	Promoter (1-2kb)	8	111710474	111743809	33336	2	12927	ENSMUST00000166232.3	-1844	ENSMUSG00000031955
IP1_peak_1637	Ptprf	protein tyrosine phosphatase receptor type F	chr4	118261979	118261979	1	*	26.45728	Intron (ENSMUST00000049074.12/19268, intron 5 of 32)	4	118209005	118236445	27441	2	19268	ENSMUST00000150096.7	-25534	ENSMUSG00000033295
IP1_peak_1602	E130114P18Rik	RIKEN cDNA E130114P18 gene	chr4	97236291	97236291	1	*	26.36808	Distal Intergenic	4	97568133	97584596	16464	2	319865	ENSMUST00000148653.7	348305	NA
IP1_peak_1072	Diaph1	diaphanous related formin 1	chr18	37880176	37880176	1	*	26.0924	Intron (ENSMUST00000115634.7/13367, intron 17 of 26)	18	37896157	37897942	1786	2	13367	ENSMUST00000129688.1	17766	ENSMUSG00000024456
IP1_peak_1096	Zfp608	zinc finger protein 608	chr18	55549825	55549825	1	*	26.07247	Distal Intergenic	18	54888723	54992555	103833	2	269023	ENSMUST00000237844.1	-557270	ENSMUSG00000052713
IP1_peak_322	Adra1b	adrenergic receptor, alpha 1b	chr11	44003296	44003296	1	*	25.95156	Intron (ENSMUST00000148504.1/ENSMUST00000148504.1, intron 1 of 6)	11	43776023	43901210	125188	2	11548	ENSMUST00000139906.1	-102086	ENSMUSG00000050541
IP1_peak_1900	Ppp1r3a	protein phosphatase 1, regulatory subunit 3A	chr6	14600732	14600732	1	*	25.95156	Distal Intergenic	6	14713977	14755274	41298	2	140491	ENSMUST00000045096.5	154542	ENSMUSG00000042717
IP1_peak_1125	Setbp1	SET binding protein 1	chr18	79049149	79049149	1	*	25.85674	Intron (ENSMUST00000025430.10/240427, intron 2 of 5)	18	78750380	79109391	359012	2	240427	ENSMUST00000025430.10	60242	ENSMUSG00000024548
IP1_peak_2008	1700072O05Rik	RIKEN cDNA 1700072O05 gene	chr6	120580360	120580360	1	*	25.85674	Distal Intergenic	6	120554796	120562879	8084	1	73505	ENSMUST00000204672.1	25564	ENSMUSG00000107744
IP1_peak_565	2610307P16Rik	RIKEN cDNA 2610307P16 gene	chr13	28481506	28481506	1	*	25.62432	Promoter (<=1kb)	13	28460778	28480841	20064	2	72518	ENSMUST00000122881.6	-665	ENSMUSG00000085936
IP1_peak_1664	Sdc3	syndecan 3	chr4	130805186	130805186	1	*	25.62432	Intron (ENSMUST00000070478.3/20970, intron 1 of 4)	4	130811938	130819059	7122	1	20970	ENSMUST00000152591.7	-6752	ENSMUSG00000025743
IP1_peak_1990	Rybp	RING1 and YY1 binding protein	chr6	100163219	100163219	1	*	25.62432	Distal Intergenic	6	100232011	100233131	1121	2	56353	ENSMUST00000203410.1	69912	ENSMUSG00000072872
IP1_peak_1006	Mir7218	microRNA 7218	chr17	27389856	27389856	1	*	25.32489	Distal Intergenic	17	27358097	27358155	59	1	102466228	ENSMUST00000200050.1	31759	ENSMUSG00000106215
IP1_peak_354	Rph3al	rabphilin 3A-like (without C2 domains)	chr11	75870090	75870090	1	*	25.24204	Intron (ENSMUST00000121287.7/380714, intron 5 of 8)	11	75832137	75911062	78926	2	380714	ENSMUST00000066504.10	40972	ENSMUSG00000020847
IP1_peak_2425	Gm17399	predicted gene, 17399	chr9	118247140	118247140	1	*	25.12982	Distal Intergenic	9	118150231	118170376	20146	1	100502695	ENSMUST00000181824.1	96909	ENSMUSG00000097402
IP1_peak_1047	Msh2	mutS homolog 2	chr17	87745407	87745407	1	*	25.07773	Distal Intergenic	17	87696541	87717678	21138	1	17685	ENSMUST00000174703.1	48866	ENSMUSG00000024151
IP1_peak_250	Krtap10-23	keratin associated protein 10-23	chr10	77787798	77787798	1	*	24.93702	Exon (ENSMUST00000180161.1/ENSMUST00000180161.1, exon 1 of 1)	10	77781850	77782542	693	2	100041281	ENSMUST00000167358.1	-5256	ENSMUSG00000096481
IP1_peak_1001	Dll1	delta like canonical Notch ligand 1	chr17	15381658	15381658	1	*	24.93702	Distal Intergenic	17	15374794	15376872	2079	2	13388	ENSMUST00000143460.1	-4786	ENSMUSG00000014773
IP1_peak_2457	1700020D14Rik	RIKEN cDNA 1700020D14 gene	chrY	259197	259197	1	*	24.93089	Distal Intergenic	21	206151	207788	1638	1	69438	ENSMUST00000185226.1	53046	ENSMUSG00000101796
IP1_peak_611	Cplx2	complexin 2	chr13	54325982	54325982	1	*	24.87164	Intron (ENSMUST00000220818.1/ENSMUST00000220818.1, intron 1 of 1)	13	54302558	54312175	9618	1	12890	ENSMUST00000223430.1	23424	ENSMUSG00000025867
IP1_peak_948	Robo1	roundabout guidance receptor 1	chr16	72888351	72888351	1	*	24.87164	Intron (ENSMUST00000232205.1/19876, intron 2 of 28)	16	72976349	72979218	2870	1	19876	ENSMUST00000232545.1	-87998	ENSMUSG00000022883
IP1_peak_1976	Magi1	membrane associated guanylate kinase, WW and PDZ domain containing 1	chr6	93913100	93913100	1	*	24.87164	Promoter (<=1kb)	6	93682067	93912963	230897	2	14924	ENSMUST00000204532.2	-137	ENSMUSG00000045095
IP1_peak_889	Fgd4	FYVE, RhoGEF and PH domain containing 4	chr16	16559578	16559578	1	*	24.75494	Promoter (<=1kb)	16	16472266	16559990	87725	2	224014	ENSMUST00000159058.7	412	ENSMUSG00000022788
IP1_peak_1719	4930519H02Rik	RIKEN cDNA 4930519H02 gene	chr5	15850315	15850315	1	*	24.75494	Distal Intergenic	5	15863928	15883766	19839	2	75058	ENSMUST00000198907.4	33451	ENSMUSG00000105185
IP1_peak_251	Krtap10-29	keratin associated protein 10-29	chr10	77794735	77794735	1	*	24.54208	Promoter (<=1kb)	10	77794399	77795076	678	2	675294	ENSMUST00000172205.4	341	ENSMUSG00000096131
IP1_peak_967	Epcip	exosomal polycystin 1 interacting protein	chr16	91099603	91099603	1	*	24.54208	Distal Intergenic	16	91055838	91095122	39285	2	74387	ENSMUST00000146047.1	-4481	ENSMUSG00000039851
IP1_peak_1325	9630028H03Rik	RIKEN cDNA 9630028H03 gene	chr2	135541276	135541276	1	*	24.54208	Intron (ENSMUST00000153402.1/320684, intron 1 of 1)	2	135580530	135583296	2767	2	320684	ENSMUST00000129868.1	42020	ENSMUSG00000085631
IP1_peak_813	Ncald	neurocalcin delta	chr15	37786737	37786737	1	*	24.19827	Intron (ENSMUST00000168992.7/52589, intron 1 of 6)	15	37366175	37792000	425826	2	52589	ENSMUST00000168992.7	5263	ENSMUSG00000051359
IP1_peak_612	Cplx2	complexin 2	chr13	54346105	54346105	1	*	23.79258	Distal Intergenic	13	54371349	54383917	12569	1	12890	ENSMUST00000026985.8	-25244	ENSMUSG00000025867
IP1_peak_408	4732490B19Rik	RIKEN cDNA 4732490B19 gene	chr11	113308779	113308779	1	*	23.68789	Intron (ENSMUST00000071539.9/69806, intron 6 of 9)	11	113203315	113209669	6355	2	319871	ENSMUST00000130373.1	-99110	ENSMUSG00000085421
